strategy,side,split,horizon,n,mean_return,median_return,hit_rate,p25,p75,median_mfe_20d,median_mae_20d
compression_break,short,train,1,21,0.001761744871596908,-0.002,0.23809523809523808,-0.0023006012024047156,-0.0017995389395609723,0.001603367070848849,-0.0039031224979986234
compression_break,short,train,3,21,0.0022574916779163246,-0.0022005012531327566,0.19047619047619047,-0.002701473093496441,-0.0015991180597313397,0.001603367070848849,-0.0039031224979986234
compression_break,short,train,5,21,0.001170317450695857,-0.002300751879699135,0.14285714285714285,-0.0036142816446682585,-0.0018997895580720164,0.001603367070848849,-0.0039031224979986234
compression_break,short,train,10,21,0.015189678419770486,-0.0022004208838559674,0.23809523809523808,-0.002601503759398492,-0.0016993385447986436,0.001603367070848849,-0.0039031224979986234
compression_break,short,train,20,21,0.027472771929366452,-0.0022001000500249095,0.23809523809523808,-0.002701473093496441,-0.0013991588223511969,0.001603367070848849,-0.0039031224979986234
compression_break,short,train,30,21,0.03394403822014496,-0.0021000400160064974,0.23809523809523808,-0.0024008417677121568,-0.0015991582322878433,0.001603367070848849,-0.0039031224979986234
cross_7_30_regime,long,test,1,66,0.003917365119800828,-0.0021000900820756768,0.30303030303030304,-0.012054122897206919,0.002553084417997122,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,test,3,66,-0.01031011017344483,-0.002199879257274771,0.36363636363636365,-0.020375824995098074,0.005617058395563536,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,test,5,66,-0.01909474898156475,-0.004954985205238292,0.24242424242424243,-0.0382742002115572,-0.0004280962198079368,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,test,10,66,-0.046962270730373235,-0.012593671490168322,0.24242424242424243,-0.1082310706575765,-0.002044956841432242,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,test,20,66,-0.05308768937417081,-0.01152939995410984,0.2727272727272727,-0.12581500588140965,0.0022412080902246573,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,test,30,66,-0.09766777227917665,-0.02528345630866613,0.16666666666666666,-0.18784821187502554,-0.0025749378838216246,0.03712372592186197,-0.08410458055698117
cross_7_30_regime,long,train,1,99,-0.016614934551551705,-0.010730964467005054,0.37373737373737376,-0.053400181338598085,0.008333628432080189,0.07647118403727338,-0.17736524603974546
